name,facility_type,address,city,state,zip_code,phone,fax,email,website,administrator,director,medical_director,beds,capacity,license_number,medicare_provider_id,medicaid_certified,services_offered,specialties,amenities,care_levels,description,hours,visiting_hours,parking_info,source_url,scraped_at
Rehabilitation,Skilled Nursing,2117,601 Cross St.,Burlington,66839,(620) 364-2117,,,,,,,,,ations,,,[],[],[],[],,,,,https://lcca.com/locations/ks/burlington/rehabilitation,2025-07-26T00:03:21.888459
Schedule a Tour,Skilled Nursing,"622 N. Edgemoor St.,Wichita,KS67208",,,,(316) 686-5100,,,,,,,,,ations,,,[],[],[],[],,,,,https://lcca.com/locations/ks/wichita/schedule-tour,2025-07-26T00:03:23.344998
Idaho Locations,Skilled Nursing,"808 N. Curtis Road,Boise,ID83706",,,,(208) 376-5273,,,,,,,,,ations,,,[],[],[],[],,,,,https://lcca.com/locations/id/,2025-07-26T00:03:24.795317
Contact Us,Skilled Nursing,"622 N. Edgemoor St.,Wichita,KS67208",,,,(316) 686-5100,,,,,,,,,ations,,,[],[],[],[],,,,,https://lcca.com/locations/ks/wichita/contact,2025-07-26T00:03:27.246045
Utah Locations,Skilled Nursing,"3750 Highland Drive,Salt Lake City,UT84106",,,,(801) 272-8226,,,,,,,,,ations,,,[],[],[],[],,,,,https://lcca.com/locations/ut/,2025-07-26T00:03:28.672428
Video Tour & Photo Gallery,Skilled Nursing,1349,621 West 21st St.,Andover,67002,(316) 733-1349,,,,,,,,,ations,,,[],[],[],[],,,,,https://lcca.com/locations/ks/andover/gallery,2025-07-26T00:03:30.175627
Life Care Center of Andover,Skilled Nursing,1349,621 West 21st St.,Andover,67002,(316) 733-1349,,,,,,,,,ations,,,[],[],[],[],,,,,https://lcca.com/locations/ks/andover,2025-07-26T00:03:31.655571
Kentucky Locations,Skilled Nursing,"252 W. Fifth St.,La Center,KY42056",,,,(270) 665-5681,,,,,,,,,ations,,,[],[],[],[],,,,,https://lcca.com/locations/ky/,2025-07-26T00:03:33.094229
Thank you for your interest!,Skilled Nursing,3570 Keith St,,,,(423) 472-9585,,,,,,,,,ations,,,[],[],[],[],,,,,https://lcca.com/locations/ks/rehabilitation,2025-07-26T00:03:34.631826
Jobs at Life Care Center of Wichita,Skilled Nursing,622 N. Edgemoor St,,,,(316) 686-5100,,,,,,,,,ations,,,[],[],[],[],,,,,https://lcca.com/locations/ks/wichita/careers,2025-07-26T00:03:36.093143
Thank you for your interest!,Skilled Nursing,3570 Keith St,,,,(423) 472-9585,,,,,,,,,ations,,,[],[],[],[],,,,,https://lcca.com/locations/mo/memory-care,2025-07-26T00:03:37.505917
Jobs at Life Care Center of Grandview,Skilled Nursing,6301 E. 125th St,,,,(816) 765-7714,,,,,,,,,ations,,,[],[],[],[],,,,,https://lcca.com/locations/mo/grandview/careers,2025-07-26T00:03:38.955588
Life Care Center of Elkhorn,Skilled Nursing,Life Care Center of Elkhorn,,,,(402) 289-2572,,,,,,,,,ations,,,[],[],[],[],,,,,https://lcca.com/locations/ne/elkhorn,2025-07-26T00:03:40.518114
Massachusetts Locations,Skilled Nursing,"1 Great Road,Acton,MA01720",,,,(978) 263-9101,,,,,,,,,ations,,,[],[],[],[],,,,,https://lcca.com/locations/ma/,2025-07-26T00:03:41.944333
Schedule a Tour,Skilled Nursing,"6301 E. 125th St.,Grandview,MO64030",,,,(816) 765-7714,,,,,,,,,ations,,,[],[],[],[],,,,,https://lcca.com/locations/mo/grandview/schedule-tour,2025-07-26T00:03:43.431523
Thank you for your interest!,Skilled Nursing,3570 Keith St,,,,(423) 472-9585,,,,,,,,,ations,,,[],[],[],[],,,,,https://lcca.com/locations/mo/careers,2025-07-26T00:03:44.858836
Thank you for your interest!,Skilled Nursing,3570 Keith St,,,,(423) 472-9585,,,,,,,,,ations,,,[],[],[],[],,,,,https://lcca.com/locations/ks/memory-care,2025-07-26T00:03:46.296253
Thank you for your interest!,Skilled Nursing,3570 Keith St,,,,(423) 472-9585,,,,,,,,,ations,,,[],[],[],[],,,,,https://lcca.com/locations/ks/services,2025-07-26T00:03:47.750967
Life Care Center of Kansas City,Skilled Nursing,1770,3231 N. 61st St.,Kansas City,66104,(913) 299-1770,,,,,,,,,ations,,,[],[],[],[],,,,,https://lcca.com/locations/ks/kansas-city,2025-07-26T00:03:49.256701
Stories of Passion & Care,Skilled Nursing,2025,,,,(816) 765-7714,,,,,,,,,ations,,,[],[],[],[],,,,,https://lcca.com/locations/mo/grandview/blog/,2025-07-26T00:03:50.756490
North Carolina Locations,Skilled Nursing,"185 Norwood Hollow Road,Banner Elk,NC28604",,,,(828) 898-5136,,,,,,,,,ations,,,[],[],[],[],,,,,https://lcca.com/locations/nc/,2025-07-26T00:03:52.191273
